id,market_id,market_name,title,url,image_url,price,quantity_value,quantity_unit,normalized_price,normalized_unit,price_display,availability,normalization_status,search_query,cep,collected_at
5464b7e7-c985-4d6d-b9c3-1b5dbe106166,pao_acucar,Pão de Açúcar,Arroz Agulhinha Tipo 1 TIO JOÃO Pacote 1kg,https://www.paodeacucar.com/produto/31117/p,,7.49,1.0,kg,7.49,kg,"R$ 7,49/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
b12d1805-42a7-4fe8-918d-bbb03e9ea957,pao_acucar,Pão de Açúcar,Arroz Parboilizado Tipo 1 CAMIL Pacote 5kg,https://www.paodeacucar.com/produto/139643/p,,37.49,5.0,kg,7.5,kg,"R$ 7,50/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
36381d52-e467-4c8e-92bd-81aa4f8ce5af,pao_acucar,Pão de Açúcar,Arroz Parboilizado Tipo 1 TIO JOÃO Pacote 1kg,https://www.paodeacucar.com/produto/168465/p,,7.59,1.0,kg,7.59,kg,"R$ 7,59/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
a21e44c0-0738-4a86-b220-42ed0db0b87f,pao_acucar,Pão de Açúcar,Arroz Agulhinha Tipo 1 TIO JOÃO Pacote 5kg,https://www.paodeacucar.com/produto/138068/p,,37.99,5.0,kg,7.6,kg,"R$ 7,60/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
c199fb3a-3e00-4454-ad7e-0e5e64022c65,carrefour,Carrefour,Arroz Branco Longo-fino Tipo 1 Camil Todo Dia 5Kg 2 Unidades,https://mercado.carrefour.com.br/arroz-branco-longofino-tipo-1-camil-todo-dia-5kg-2-unidades-b2-2-115789/p,https://carrefourbrfood.vtexassets.com/arquivos/ids/193717776-200-auto/arroz-branco-longo-fino-tipo-1-camil-todo-dia-5kg-2-unidades-1.jpg?v=638872296610470000&quality=5&width=200&height=200,41.58,5.0,kg,8.32,kg,"R$ 8,32/kg",available,success,arroz 5 kg,,2025-12-31T22:03:39.142163
6a8ebbdd-c06b-4638-a42d-c809a745926b,pao_acucar,Pão de Açúcar,Arroz Integral Tipo 1 TIO JOÃO Pacote 1kg,https://www.paodeacucar.com/produto/126639/p,,8.79,1.0,kg,8.79,kg,"R$ 8,79/kg",available,success,arroz 5 kg,,2025-12-31T22:03:35.511738
407344c2-6ce5-4029-8189-5b21168a18bb,carrefour,Carrefour,Arroz Oriental Tipo 1 Solito Inari 5Kg,https://mercado.carrefour.com.br/arroz-oriental-tipo-1-solito-inari-5kg-5622107/p,https://carrefourbrfood.vtexassets.com/arquivos/ids/32971568-200-auto/5622107_1.jpg?v=637786341443770000&quality=5&width=200&height=200,47.99,5.0,kg,9.6,kg,"R$ 9,60/kg",available,success,arroz 5 kg,,2025-12-31T22:03:39.858251
8f665c83-a3e4-4a11-b07e-2fa8dc28c523,atacadao,Atacadão,Arroz Momiji Japonês Tipo 1 5kg,https://www.atacadao.com.br/arroz-momiji-japones-tipo-1-15782-14439/p,/_next/image?url=https%3A%2F%2Fatacadaobr.vtexassets.com%2Farquivos%2Fids%2F655898-300-300%2Fm.jpg%3Fv%3D638976169016870000&w=3840&q=75,48.88,5.0,kg,9.78,kg,"R$ 9,78/kg",available,success,arroz 5 kg,,2025-12-31T22:03:42.211975
74f1d654-3d25-40d2-a33c-a7a76be077da,carrefour,Carrefour,Arroz Carreteiro Na Panelinha Seara 300g,https://mercado.carrefour.com.br/arroz-carreteiro-na-panelinha-seara-300g-3496520/p,https://carrefourbrfood.vtexassets.com/arquivos/ids/194062255-200-auto/arroz-carreteiro-na-panelinha-seara-300g-1.jpg?v=638887808647170000&quality=5&width=200&height=200,18.98,0.3,kg,63.27,kg,"R$ 63,27/kg",available,success,arroz 5 kg,,2025-12-31T22:03:38.821406
a180921f-b183-4c93-979e-0b1cd6e9fad8,carrefour,Carrefour,Arroz Carreteiro Na Panelinha Seara 300g,https://mercado.carrefour.com.br/arroz-carreteiro-na-panelinha-seara-300g-3496520/p,https://carrefourbrfood.vtexassets.com/arquivos/ids/194062255-200-auto/arroz-carreteiro-na-panelinha-seara-300g-1.jpg?v=638887808647170000&quality=5&width=200&height=200,18.98,0.3,kg,63.27,kg,"R$ 63,27/kg",available,success,arroz 5 kg,,2025-12-31T22:03:39.911175
